,AmoFv,BeauFv,BodoFv,CadFv,HaliFv,LewFv,LimaFv,ObanFv,SCHFs,SCHFd,SCHFv,SidFv,TagusFv,TorrFv,UumFv,VianaFv,WHFv,GreenFv,MineFv
BeauFv,5841,,,,,,,,,,,,,,,,,,
BodoFv,3200,6547,,,,,,,,,,,,,,,,,
CadFv,616,6234,3688,,,,,,,,,,,,,,,,
HaliFv,4412,1539,5068,4867,,,,,,,,,,,,,,,
LewFv,5513,471,6084,5938,1130,,,,,,,,,,,,,,
LimaFv,6,5839,3194,621,4411,5511,,,,,,,,,,,,,
ObanFv,1645,5743,1619,2204,4205,5322,1639,,,,,,,,,,,,
SCHFs,4733,1298,5256,5194,331,854,4732,4470,,,,,,,,,,,
SCHFd,4733,1298,5256,5194,331,854,4732,4470,0,,,,,,,,,,
SCHFv,4733,1298,5256,5194,331,854,4732,4470,0,0,,,,,,,,,
SidFv,1092,6007,2110,1597,4485,5614,1086,645,4775,4775,4775,,,,,,,,
TagusFv,321,5913,3511,357,4526,5607,326,1965,4852,4852,4852,1401,,,,,,,
TorrFv,100,5879,3290,521,4462,5557,105,1742,4785,4785,4785,1181,223,,,,,,
UumFv,4034,4263,2552,4650,2989,3793,4029,2712,3063,3063,3063,3323,4322,4130,,,,,
VianaFv,6,5837,3195,622,4408,5509,3,1640,4729,4729,4729,1087,326,106,4028,,,,
WHFv,5039,920,5633,5478,641,489,5038,4836,378,378,378,5126,5142,5086,3413,5035,,,
GreenFv,3217,4289,2264,3833,2844,3824,3212,1989,3006,3006,3006,2565,3502,3312,824,3211,3381,,
MineFv,1139,5985,2061,1651,4461,5590,1133,587,4749,4749,4749,57,1451,1230,3269,1134,5101,2514,
NewpFv,5096,880,5669,5536,695,439,5095,4884,418,418,418,5177,5200,5143,3432,5092,59,3414,5152
